"Topic (e.g., ""Constant Rate of Change"")",Pre/Post/IN Task/Video,Problem/Video #,Description of issue,Suggested change
L'Hopital's Rule,Pre/Post,3,All other problems have DNE (not including an infinite limit) as an option,add DNE (not including an infinite limit) as an option
MVT,Pre,1,Incorrect solution marked,"Should be Graphs III), IV), and V)
On Blackboard this can be changed to a select all instead of a multiple choice."
MVT,Pre/Post,2,"Question reads inaccurately. Missing an ""f""","""... if any, is f continuous over..."""
MVT,Pre/Post,All,The graphs are a bit big in Blackboard. This would cause students with small screens to have difficulty managing these problems.,Reduce size of graphs by at least another 10 to 20%. 
MVT,Pre/Post/task,several,The difference quotient is incorrect; the terms in the numerator should be reversed.,
Optimization Modeling,Post,1,Correct Answer Does Not Appear - Likely due to incorrect copy and past. Parimeter needs to change to 30 in.,"Change parimeter to 30 in.
And mark the 5th option as correct."
Optimization Modeling,Post,2,Correct Answer Does Not Appear,Add 15 ft x7.5 ft
Optimization Modeling,Pre,2,Image of storage area is missing,
Optimization Modeling,Pre,2,Missing common mistake if students do not account for the inner walls,20 x 20 should be an option
Optimization Modeling,Pre,3,Incorrect Solution Marked with Incorrect Units,Mark 5.59 ft^3
Optimization Modeling,Pre,3,2.239 is not the correct solution,Change to 5.59
Optimization Modeling,Pre,3,"units on 5.59 should be ft^3, not ft^2",
Optimization Modeling,Pre/Post,2,Style of answer options do not match. Pre simplifies a bit.,Change to 30
Porduct Rule,Post,4,"The answer that is marked correct may have a duplicate ""x^-5""","Remove an extra ""x^-5"" if one is there."
Product Rule,Post,3,Common is in the incorrect place,"Change to ""4^x x^4,"""
Product Rule,Post,1 and 2,The wrong answer is listed as correct,
Product Rule,Pre,4,"No correct answer (coefficient ""3"" missing)","Add the coefficient ""3"" to the first term"
Quotient Rule,Post,3,Only accept one way of writing the answer,
Quotient Rule,Pre,2,The wrong answer is listed as correct,option a is correct
Quotient Rule,Pre,4,"For the correct answer, a 2 is factored out of the numerator but an x is not. ","Change the correct answer to ""(1-2lnx)/(2x^3)""
OR
Do not simplify to begin with"
Related Rates,Post,1,"The problem statement never mentions how fast the leg is being pulled. This is extraneous information but it does appear in the image. Since it appears in the image, I would have it in the statement.","Begin with ""A rectangle has a constant height of 6 cm while the base is growing at a constant rate of 3 cm/sec as shown below...""
"
Related Rates,Post,1,"In addition, I would not label the varying side with a value (8 cm), but instead label it with variable (b cm). Even though the arrow is a part of the diagram, initially labeling with a numerical value can obfuscate the variation. In addition, textbooks I have used in the past (and myself), indicate labeling varying quantities with a variable. Note: This is done on problem 3.","Remove ""8 cm"" from the image and replace with ""b cm"""
Related Rates,Post,2,"Incorrect solution marked since the directions use the word ""falling"" which would account for any negative appearing in the answer. ","Change ""-25"" to ""50"""
Related Rates,Post,3,No correct answer is given.,"Options should mirror Problem 3 options from the pre-video question options.
Correct answer is ""6pi*r square inches per second"""
Related Rates,Pre,1,"The problem statement never mentions how fast the leg is being pulled. This is extraneous information but it does appear in the image. Since it appears in the image, I would have it in the statement.","Begin with ""A right triangle has one leg of constant length 7cm while the other leg is growing at a constant rate of 2 cm/sec  as shown below...""
"
Related Rates,Pre,1,"In addition, I would not label the varying side with a value (10 cm), but instead label it with variable (b cm). Even though the arrow is a part of the diagram, initially labeling with a numerical value can obfuscate the variation. In addition, textbooks I have used in the past (and myself), indicate labeling varying quantities with a variable. Note: This is done on problem 3.","Remove ""10 cm"" from the image and replace with ""b cm"""
Related Rates,Pre,2,Incorrect solution marked,"Mark 0.002 * 750 degrees per minute.
I would also recommend using a dot for multiplication over an ""*"""
Related Rates,Pre,3,Incorrect solution marked,Mark 6x in^2/sec
Riemann Sums Introduction,Post,1,"5th answer refers to ""having run"" rather than ""having biked""","change ""run"" to ""biked"""
Riemann Sums Introduction,Post,2,"3rd answer refers to ""home"" rather than ""bike shop""",
Riemann Sums Introduction,Post,tank draining,"Answer 2 misspells ""drained""",
Riemann Sums Introduction,Pre,1,"Incorrect spelling of ""away"" in the correct answer choice.","""awway"" should be ""away"""
Riemann Sums Introduction,Pre,2,"Incorrect spelling of ""away"" in the last answer choice","""awawy"" should be ""away"""
Riemann Sums Introduction,Pre,3,"No correct answer (it should be 3 minutes, not 2.5 or 6)","Change first answer to ""3 minutes"" (from 2.5)"
Riemann Sums Notation,Post,1,"The question asks for LHS, but the correct answer is for the RHS.",Either change LHS to RHS or change the answer.
Riemann Sums Notation,Post,2,none of the above is included twice.,remove one (or both?)
Riemann Sums Notation,post,3,"The answer choice in Bb are not labeled with a, b, c. etc. This makes it hard to answer things like ""both a and b"".","There is an option to include answer labels within Bb, but you have to select that option."
Riemann Sums Notation,post,3,"The answer choice ""At least one of a., b. and c. is correct IF you remove the repeating 1/2"" does not make sense for this problem.","Changed to ""repeating 3"""
Riemann Sums Notation,Pre,1,"In Bb the answers do not have (a) (b) etc labels, so you have to infer what is meant by the both a and b answer choices.","There is an option to include answer labels within Bb, but you have to select that option."
Riemann Sums Notation,Pre,3,"""IF you remove the repeating 1/2"" is an odd thing to reference since there is no 1/2 involved in the problem.",Remove this answer option
Riemann Sums Notation,Pre,3,This notation specifies a RHS(??) so only 30 is a correct answer,"Correct answer is B, not F"
Riemann Sums Notation,Task,1,The table is too small to read.,
Slopes of Secants and Tangents,Post,1,There isn't a question that is posed...,"Change to ""What does it mean to say that ""the slope of this tangent line is 0.712?"""
U-Sub,Pre,1,Correct answer should have 1/3,Change correct answer from A to B
U-Sub,Pre,2,"Correct answer should be ""This integral cannot be evaluated using U-substitution""",
